Word,Sentiment_Score
aalis,-4
aantukin,-4
aaralin,4
aasenso,4
abangan,0
abuso,-4
aktibo,4
alaala,0
alab,4
alaga,4
alagaan,4
alala,0
alamat,4
alinlangan,-4
antala,-4
antayin,0
antok,-4
artista,4
artistahin,4
asawa,0
atensyon,4
ayos,4
babaero,-4
babagsak,-4
babaguhin,4
babalik,4
babasahin,4
bagal,-4
bagalan,-4
bagaman,0
bagay,4
bagsak,-4
bagsakan,-4
baguhan,0
baguhin,4
bahagi,0
bahala,-4
bahasa,4
bahid,-4
baho,-4
bait,4
bakasyon,0
balanse,4
balik,0
balikat,0
balimbing,-4
balita,0
baliw,-4
banat,0
banta,-4
bantay,0
bantayan,4
baon,4
barado,-4
barkada,0
basa,4
basag,-4
basagan,-4
basagulero,-4
basahin,4
basehan,4
basta,-4
bastos,-4
bastusin,-4
basurahan,0
bata,4
batido,4
bawal,-4
bawas,-4
bawasan,-4
bawi,4
bayad,4
bayani,4
bibig,0
bibigay,0
bibigyan,4
bibisita,4
bibo,4
bida,4
bigay,4
bigayan,4
bigla,0
biglaan,0
bigyan,4
bihasa,4
bihira,0
bilib,4
bilis,4
bilisan,4
binabagsak,-4
binabahagi,4
binabanggit,4
binabantayan,4
binabara,-4
binabasa,4
binabasag,-4
binabastos,-4
binabatikus,-4
binabawi,-4
binabayad,4
binabayaran,0
binagsak,-4
binayaran,0
binayayaan,4
binibida,4
binibigay,4
binibigkas,4
binibigla,-4
binibigyan,4
binibilang,4
binigay,4
binigyan,4
binubuhos,4
binusog,4
bistado,-4
bitin,-4
bongga,4
bosing,0
bugnutin,-4
buhat,0
buhatin,0
buhay,4
bukod,0
bulok,-4
bulol,-4
bulsa,0
bumaba,0
bumababa,0
bumabagsak,-4
bumabait,4
bumabalik,0
bumabata,4
bumabawi,4
bumagsak,-4
bumait,4
bumalik,4
bumati,4
bungannga,0
bungisngis,-4
busog,4
butas,0
butihin,4
butil,0
dagdag,4
dagdagan,4
dahandahan,4
dakila,4
dalasan,4
dalubhasa,4
damay,0
damdamin,4
dami,4
damihan,4
damit,4
damot,-4
darating,4
deretsahan,0
diretso,4
diskarte,4
gabay,4
gagalingan,4
gaganahan,4
gaganap,4
gagawa,4
gagawin,4
gagayahin,0
galaw,0
galing,4
galingan,4
galit,-4
galitin,-4
gamit,4
gamitin,4
gana,4
ganado,4
ganahan,4
ganda,4
gandahan,4
gastos,-4
gawa,4
gawain,4
gawi,4
ginagabayan,4
ginagamit,4
ginagamitan,4
ginagampanan,4
ginagaya,0
gulatin,-4
gulo,-4
gumagaling,4
gumagamit,4
gumaganda,4
gumagawa,4
gumaling,4
gumamit,4
gumana,4
gumanda,4
gumapang,4
gumastos,-4
gumising,4
gupit,0
guro,4
gwapo,4
haba,0
habaan,4
halaga,4
halata,0
halimaw,-4
halimbawa,4
halughugin,-4
hanap,4
handa,4
hanep,4
hanga,4
hangaan,4
hangarin,4
hangin,4
hango,0
hapon,4
harap,4
harapan,4
hawak,4
hawakan,4
hayaan,0
higit,4
hilaw,-4
hilig,4
hilo,-4
hiluin,-4
hina,-4
hinaan,0
hinabol,0
hinahabol,0
hinahanap,4
hinahangaan,4
hinaharap,4
hinaing,-4
hinanakit,-4
hinasa,4
hinay,0
hinihikayat,4
hinihingi,0
hinirang,4
hirap,-4
hirapan,-4
hirit,4
hukayin,0
huli,0
hulihan,0
humaba,4
humabol,0
humahabol,0
humahanga,4
humahawak,4
humangin,4
humarap,4
humawak,4
ibabago,4
ibabagsak,-4
ibabalik,0
ibagay,4
ibagsak,-4
ibahagi,4
ibahan,4
ibahin,4
ibalik,4
ibebenta,0
ibibigay,4
ibinabahagi,4
ibinahagi,4
ibinibida,4
ibinibigay,4
ibinigay,4
ibinuhos,4
idamay,0
ideya,4
igagaling,4
igalang,4
igihan,4
ihiwalay,0
iintindi,4
iintindihin,4
iisa,0
iisipin,4
ikabahala,-4
ikabubuti,4
ikagagaling,4
ikinagagalak,4
ikinokonsidera,4
ilangan,-4
imahe,4
impormasyon,4
importante,4
inaabuso,-4
inaalagaan,4
inaalala,4
inaamin,4
inaantok,-4
inaasahan,4
inaasikaso,4
inaatupag,4
ingat,4
ingay,-4
iniisa,4
iniisip,4
iniiwan,-4
inilalahad,4
inis,-4
init,-4
inspirasyon,4
insulto,-4
interesado,4
intindi,4
intindihin,4
inulit,4
inuubos,-4
inuulit,4
inuunawa,4
ipaalam,4
ipaasa,0
ipabatid,4
ipagawa,4
ipagdarasal,4
ipagdasal,4
ipagmalaki,4
ipagpaloy,0
ipagpatuloy,4
ipahiwatig,4
ipahiya,-4
ipaintindi,4
ipakita,4
ipaliwanag,4
ipantay,4
ipapagawa,4
ipapahiya,-4
ipapalit,4
ipapaliwanag,4
ipinagmamalaki,4
ipinakita,4
ipinaliliwanag,4
ipinamahagi,4
ipinapaintindi,4
ipinapakita,4
ipinapaliwanag,4
ipipilit,-4
irespeto,4
iresponsible,-4
iringan,-4
isarili,-4
isasagot,4
isauli,4
isinali,4
isinasama,4
isinusulat,4
isip,4
isipan,4
isipin,4
isplika,4
isusulat,4
itama,4
itanong,4
itatagalog,4
itatanong,4
itinulong,4
itinuro,4
itinuturing,4
itinuturo,4
ititigil,0
itsura,4
itulad,4
ituloy,4
ituro,4
itutuloy,4
ituturo,4
iugnay,4
iwan,4
iwas,4
iwasan,4
iyak,0
kaagad,4
kaakibat,4
kaalaman,4
kaantok,-4
kaasar,-4
kaayaaya,4
kaayusan,4
kabagot,-4
kabahan,-4
kabaitan,4
kabaliwan,-4
kabastusan,-4
kabilisan,4
kabisado,4
kaboring,-4
kabutihan,4
kadalasan,0
kadami,4
kadena,0
kagaling,4
kagalingan,4
kagamitan,4
kaganapan,4
kaganda,4
kagandahan,4
kagaya,4
kagulo,-4
kagwapuhan,4
kahalagahan,4
kahangaan,4
kaharap,4
kahawig,4
kahinaan,-4
kahiya,-4
kahusayan,4
kaibigan,4
kailangan,4
kaingayan,-4
kainis,-4
kainit,0
kaisa,4
kaistrikto,0
kaiyak,0
kakaantok,-4
kakabilib,4
kakagutom,-4
kakahiya,-4
kakaiba,0
kakailanganin,4
kakaingay,-4
kakainggit,-4
kakairita,-4
kakaiyak,-4
kakakwento,4
kakalito,-4
kakapagod,-4
kakasawa,-4
kakatakot,-4
kakatamad,-4
kakatawa,4
kakatuwa,4
kakayahan,4
kakayanan,4
kakornihan,-4
kakulit,-4
kakulitan,-4
kalagayan,0
kalagitnaan,0
kalahati,4
kalakasan,4
kalalim,4
kalbo,4
kalidad,4
kalilimutan,-4
kalimutan,-4
kalinga,4
kalinisan,4
kalma,4
kalmado,4
kalog,4
kaloka,-4
kalokohan,-4
kaluluwa,0
kalusugan,4
kamahal,4
kamot,0
kampante,4
kamukha,4
kantyaw,4
kapagod,-4
kapakanan,4
kapal,4
kapasidad,4
kapatid,4
kapreskohan,-4
karanasan,4
karangalan,4
karapatan,4
karunungan,4
kasabay,4
kasalanan,-4
kasali,4
kasama,4
kasanayan,4
kasigla,4
kasiyahan,4
kasungitan,-4
kasya,4
katabi,4
katakot,-4
katalinuhan,4
katamad,-4
katamaran,-4
katamtaman,0
katangahan,-4
katangian,4
katanungan,4
katapusan,-4
katarayan,-4
